ilceler,ahsap,karkas,beton,celik,diger,toplam
SELÇUKLU,4,6,130,1,584,725
MERAM,46,6,127,1,667,847
KARATAY,40,4,115,1,813,973
SANCAK,2,3,33,2,204,244
AKÖREN,41,2,1,0,11,55
AKŞEHİR,31,1,33,2,473,540
ALTINEKİN,0,2,4,0,95,101
BEYŞEHİR,15,3,33,2,598,651
BOZKIR,0,0,4,0,48,52
CİHANBEYLİ,1,4,2,0,210,217
ÇELTİK,0,0,0,0,137,137
ÇUMRA,0,9,14,0,342,365
DERBENT,0,1,0,0,35,36
DEREBUCAK,6,0,1,0,13,20
DOĞANHİSAR,152,0,0,0,2,154
EMİRGAZİ,0,0,0,0,75,75
EREĞLİ,50,1,22,1,376,450
GÜNEYSINIR,3,4,0,0,31,38
HADİM,1,0,2,1,36,40
HÜYÜK,2,5,6,0,258,271
ILGIN,3,8,24,0,248,283
KADINHANI,279,0,0,0,22,301
KARAPINAR,0,0,13,0,360,373
KULU,0,0,30,0,178,208
SARAYÖNÜ,0,7,4,0,141,152
SEYDİŞEHİR,5,10,16,2,283,316
TAŞKENT,0,1,2,0,28,31
YALIHÜYÜK,59,0,0,0,0,59
YUNAK,0,0,0,0,210,210
