ilceler;ahsap;karkas;beton;celik;diger;toplam
SELÇUKLU;2;2;106;0;536;646
MERAM;46;8;113;1;476;644
KARATAY;26;7;97;2;528;660
SANCAK;3;0;32;2;260;297
AKÖREN;0;1;3;0;31;35
AKŞEHİR;33;1;30;0;335;399
ALTINEKİN;1;0;5;0;48;54
BEYŞEHİR;16;2;36;2;422;478
BOZKIR;0;0;1;0;52;53
CİHANBEYLİ;1;7;8;9;114;139
ÇELTİK;0;0;0;0;62;62
ÇUMRA;0;0;10;1;207;218
DERBENT;0;4;0;0;23;27
DEREBUCAK;4;1;0;0;12;17
DOĞANHİSAR;103;1;5;0;3;112
EMİRGAZİ;0;0;0;0;67;67
EREĞLİ;32;0;34;0;310;376
GÜNEYSINIR;0;6;0;2;39;47
HADİM;3;0;3;0;44;50
HÜYÜK;3;4;5;1;125;138
ILGIN;10;4;14;1;172;201
KADINHANI;130;0;2;0;3;135
KARAPINAR;0;0;5;0;267;272
KULU;0;0;29;0;77;106
SARAYÖNÜ;0;11;5;0;74;90
SEYDİŞEHİR;14;1;9;0;217;241
TAŞKENT;1;3;1;0;17;22
YALIHÜYÜK;66;1;1;0;7;75
YUNAK;0;0;1;0;110;111
