,yıl,ay,kart_tipi,kart_kullanim_sayisi
127,2019,kasim,KAMU,2819
128,2019,kasim,MUHTAR,885
129,2019,kasim,SOSYAL KART,45667
130,2019,kasim,TAM ABONMAN,462641
131,2019,kasim,TAM KART,2979240
132,2019,aralik,65 YAŞ ÜSTÜ,556726
133,2019,aralik,DİĞER,393859
134,2019,aralik,BASIN,6489
135,2019,aralik,ENGELLİ,75
136,2019,aralik,GÖRME ENGELLİ,2400
137,2019,aralik,GÖRME ENGELLİ REFAKATLİ,1274
138,2019,aralik,İNDİRİMLİ,4298733
139,2019,aralik,KAMU,3087
140,2019,aralik,MUHTAR,929
141,2019,aralik,SOSYAL KART,48185
142,2019,aralik,TAM ABONMAN,484360
143,2019,aralik,TAM KART,2927405
144,2020,ocak,65 YAŞ ÜSTÜ,556929
145,2020,ocak,DİĞER,367864
146,2020,ocak,BASIN,6381
147,2020,ocak,ENGELLİ,1341
148,2020,ocak,ENGELLİ REFAKATLİ,48
149,2020,ocak,GÖRME ENGELLİ,2295
150,2020,ocak,GÖRME ENGELLİ REFAKATLİ,1167
151,2020,ocak,İNDİRİMLİ,3043430
152,2020,ocak,KAMU,2680
153,2020,ocak,MUHTAR,820
154,2020,ocak,SOSYAL KART,47935
155,2020,ocak,TAM ABONMAN,452380
156,2020,ocak,TAM KART,2697160
157,2020,subat,65 YAŞ ÜSTÜ,555676
158,2020,subat,DİĞER,353637
159,2020,subat,BASIN,6173
160,2020,subat,ENGELLİ,3255
161,2020,subat,ENGELLİ REFAKATLİ,182
162,2020,subat,GÖRME ENGELLİ,1954
163,2020,subat,GÖRME ENGELLİ REFAKATLİ,1030
164,2020,subat,İNDİRİMLİ,3555824
165,2020,subat,KAMU,2859
166,2020,subat,MUHTAR,847
167,2020,subat,SOSYAL KART,48897
168,2020,subat,TAM ABONMAN,407506
169,2020,subat,TAM KART,2495617
170,2020,mart,65 YAŞ ÜSTÜ,352469
171,2020,mart,DİĞER,280119
172,2020,mart,BASIN,4812
173,2020,mart,ENGELLİ,3803
174,2020,mart,ENGELLİ REFAKATLİ,246
175,2020,mart,GÖRME ENGELLİ,1490
176,2020,mart,GÖRME ENGELLİ REFAKATLİ,702
177,2020,mart,İNDİRİMLİ,2320656
178,2020,mart,KAMU,2053
179,2020,mart,MUHTAR,574
180,2020,mart,SOSYAL KART,40347
181,2020,mart,TAM ABONMAN,320906
182,2020,mart,TAM KART,1844638
183,2020,nisan,65 YAŞ ÜSTÜ,4704
184,2020,nisan,DİĞER,87205
185,2020,nisan,BASIN,1397
186,2020,nisan,ENGELLİ,1425
187,2020,nisan,ENGELLİ REFAKATLİ,43
188,2020,nisan,GÖRME ENGELLİ,421
189,2020,nisan,GÖRME ENGELLİ REFAKATLİ,168
190,2020,nisan,İNDİRİMLİ,131600
191,2020,nisan,KAMU,598
192,2020,nisan,MUHTAR,108
193,2020,nisan,SOSYAL KART,19736
194,2020,nisan,TAM ABONMAN,101178
195,2020,nisan,TAM KART,519960
196,2020,mayis,65 YAŞ ÜSTÜ,6455
197,2020,mayis,DİĞER,81141
198,2020,mayis,BASIN,1128
199,2020,mayis,ENGELLİ,1441
200,2020,mayis,ENGELLİ REFAKATLİ,52
201,2020,mayis,GÖRME ENGELLİ,402
202,2020,mayis,GÖRME ENGELLİ REFAKATLİ,168
203,2020,mayis,İNDİRİMLİ,130778
204,2020,mayis,KAMU,612
205,2020,mayis,MUHTAR,89
206,2020,mayis,SOSYAL KART,19509
207,2020,mayis,TAM ABONMAN,75259
208,2020,mayis,TAM KART,488131
209,2020,haziran,65 YAŞ ÜSTÜ,139660
210,2020,haziran,DİĞER,204093
211,2020,haziran,BASIN,3166
212,2020,haziran,ENGELLİ,3964
213,2020,haziran,ENGELLİ REFAKATLİ,138
214,2020,haziran,GÖRME ENGELLİ,1109
215,2020,haziran,GÖRME ENGELLİ REFAKATLİ,525
216,2020,haziran,İNDİRİMLİ,628729
217,2020,haziran,KAMU,1713
218,2020,haziran,MUHTAR,286
219,2020,haziran,SOSYAL KART,33184
220,2020,haziran,TAM ABONMAN,188050
221,2020,haziran,TAM KART,1274527
222,2020,temmuz,65 YAŞ ÜSTÜ,237590
223,2020,temmuz,DİĞER,206597
224,2020,temmuz,BASIN,3074
225,2020,temmuz,ENGELLİ,4351
226,2020,temmuz,ENGELLİ REFAKATLİ,148
227,2020,temmuz,GÖRME ENGELLİ,1232
228,2020,temmuz,GÖRME ENGELLİ REFAKATLİ,515
229,2020,temmuz,İNDİRİMLİ,798668
230,2020,temmuz,KAMU,1679
231,2020,temmuz,MUHTAR,216
232,2020,temmuz,SOSYAL KART,36187
233,2020,temmuz,TAM ABONMAN,197011
234,2020,temmuz,TAM KART,1431808
235,2020,agustos,65 YAŞ ÜSTÜ,134072
236,2020,agustos,DİĞER,180163
237,2020,agustos,BASIN,2710
238,2020,agustos,ENGELLİ,4481
239,2020,agustos,ENGELLİ REFAKATLİ,169
240,2020,agustos,GÖRME ENGELLİ,950
241,2020,agustos,GÖRME ENGELLİ REFAKATLİ,433
242,2020,agustos,İNDİRİMLİ,685130
243,2020,agustos,KAMU,1454
244,2020,agustos,MUHTAR,304
245,2020,agustos,SOSYAL KART,30981
246,2020,agustos,TAM ABONMAN,178234
247,2020,agustos,TAM KART,1296561
248,2020,eylul,65 YAŞ ÜSTÜ,47607
249,2020,eylul,DİĞER,196195
250,2020,eylul,BASIN,2833
251,2020,eylul,ENGELLİ,5571
252,2020,eylul,ENGELLİ REFAKATLİ,147
253,2020,eylul,GÖRME ENGELLİ,880
254,2020,eylul,GÖRME ENGELLİ REFAKATLİ,533
255,2020,eylul,İNDİRİMLİ,910639
256,2020,eylul,KAMU,1506
257,2020,eylul,MUHTAR,309
258,2020,eylul,SOSYAL KART,32558
259,2020,eylul,TAM ABONMAN,199216
260,2020,eylul,TAM KART,1445481
261,2020,ekim,65 YAŞ ÜSTÜ,66779
262,2020,ekim,DİĞER,214335
263,2020,ekim,BASIN,3270
264,2020,ekim,ENGELLİ,6659
265,2020,ekim,ENGELLİ REFAKATLİ,245
266,2020,ekim,GÖRME ENGELLİ,1068
267,2020,ekim,GÖRME ENGELLİ REFAKATLİ,506
268,2020,ekim,İNDİRİMLİ,1241878
269,2020,ekim,KAMU,1425
270,2020,ekim,MUHTAR,346
271,2020,ekim,SOSYAL KART,37106
272,2020,ekim,TAM ABONMAN,219660
273,2020,ekim,TAM KART,1669483
274,2020,kasim,65 YAŞ ÜSTÜ,62217
275,2020,kasim,DİĞER,208385
276,2020,kasim,BASIN,3364
277,2020,kasim,ENGELLİ,11616
278,2020,kasim,ENGELLİ REFAKATLİ,1085
279,2020,kasim,GÖRME ENGELLİ,1148
280,2020,kasim,GÖRME ENGELLİ REFAKATLİ,499
281,2020,kasim,İNDİRİMLİ,1109225
282,2020,kasim,KAMU,1536
283,2020,kasim,MUHTAR,366
284,2020,kasim,SOSYAL KART,32290
285,2020,kasim,TAM ABONMAN,208420
286,2020,kasim,TAM KART,1460913
287,2020,aralik,65 YAŞ ÜSTÜ,19230
288,2020,aralik,DİĞER,182867
289,2020,aralik,BASIN,3073
290,2020,aralik,ENGELLİ,63307
291,2020,aralik,ENGELLİ REFAKATLİ,8950
292,2020,aralik,GÖRME ENGELLİ,845
293,2020,aralik,GÖRME ENGELLİ REFAKATLİ,422
294,2020,aralik,İNDİRİMLİ,432358
295,2020,aralik,KAMU,1607
296,2020,aralik,MUHTAR,298
297,2020,aralik,SOSYAL KART,24881
298,2020,aralik,TAM ABONMAN,184532
299,2020,aralik,TAM KART,997215
300,2021,ocak,65 YAŞ ÜSTÜ,27532
301,2021,ocak,DİĞER,173681
302,2021,ocak,BASIN,2997
303,2021,ocak,ENGELLİ,76496
304,2021,ocak,ENGELLİ REFAKATLİ,11214
305,2021,ocak,GÖRME ENGELLİ,873
306,2021,ocak,GÖRME ENGELLİ REFAKATLİ,524
307,2021,ocak,İNDİRİMLİ,481636
308,2021,ocak,KAMU,860
309,2021,ocak,MUHTAR,224
310,2021,ocak,SOSYAL KART,24029
311,2021,ocak,TAM ABONMAN,170998
312,2021,ocak,TAM KART,1017286
313,2021,subat,65 YAŞ ÜSTÜ,37330
314,2021,subat,DİĞER,178139
315,2021,subat,BASIN,2992
316,2021,subat,ENGELLİ,82680
317,2021,subat,ENGELLİ REFAKATLİ,12247
318,2021,subat,GÖRME ENGELLİ,829
319,2021,subat,GÖRME ENGELLİ REFAKATLİ,476
320,2021,subat,İNDİRİMLİ,688836
321,2021,subat,KAMU,1388
322,2021,subat,MUHTAR,233
323,2021,subat,SOSYAL KART,26410
324,2021,subat,TAM ABONMAN,174165
325,2021,subat,TAM KART,1098850
326,2021,mart,65 YAŞ ÜSTÜ,66179
327,2021,mart,DİĞER,210887
328,2021,mart,BASIN,3617
329,2021,mart,ENGELLİ,107116
330,2021,mart,ENGELLİ REFAKATLİ,17091
331,2021,mart,GÖRME ENGELLİ,1157
332,2021,mart,GÖRME ENGELLİ REFAKATLİ,606
333,2021,mart,İNDİRİMLİ,1288297
334,2021,mart,KAMU,1750
335,2021,mart,MUHTAR,328
336,2021,mart,SOSYAL KART,31368
337,2021,mart,TAM ABONMAN,215735
338,2021,mart,TAM KART,1431508
339,2021,nisan,65 YAŞ ÜSTÜ,47705
340,2021,nisan,DİĞER,160607
341,2021,nisan,BASIN,2636
342,2021,nisan,ENGELLİ,84874
343,2021,nisan,ENGELLİ REFAKATLİ,13879
344,2021,nisan,GÖRME ENGELLİ,818
345,2021,nisan,GÖRME ENGELLİ REFAKATLİ,293
346,2021,nisan,İNDİRİMLİ,831796
347,2021,nisan,KAMU,1559
348,2021,nisan,MUHTAR,265
349,2021,nisan,SOSYAL KART,26245
350,2021,nisan,TAM ABONMAN,166752
351,2021,nisan,TAM KART,1097107
352,2021,mayis,65 YAŞ ÜSTÜ,37295
353,2021,mayis,DİĞER,109439
354,2021,mayis,BASIN,2065
355,2021,mayis,ENGELLİ,57405
356,2021,mayis,ENGELLİ REFAKATLİ,9251
357,2021,mayis,GÖRME ENGELLİ,482
358,2021,mayis,GÖRME ENGELLİ REFAKATLİ,228
