,ilce_adi,mahalle_adi,endemik_(sadece_bu_bolgede_yetisen)_bitkiler
650,Selçuklu,BİÇER,YOK
651,Selçuklu,ÇALDERE,YOK
652,Selçuklu,ÇALTI,YOK
653,Selçuklu,ÇANDIR,YOK
654,Selçuklu,DAĞDERE,YOK
655,Selçuklu,EĞRİBAYAT,YOK
656,Selçuklu,GÜVENÇ,YOK
657,Selçuklu,KALE,YOK
658,Selçuklu,KARAÖMERLER,YOK
659,Selçuklu,KERVAN,YOK
660,Selçuklu,KINIK,YOK
661,Selçuklu,KIZILCAKUYU,YOK
662,Selçuklu,MEYDAN,YOK
663,Selçuklu,SELAHATTİN,YOK
664,Selçuklu,SIZMA,YOK
665,Selçuklu,TEPEKENT,YOK
666,Selçuklu,ULUMUHSİNE,YOK
667,Selçuklu,YAZIBELEN,YOK
668,Selçuklu,SİLLE,YOK
669,Selçuklu,ARDIÇLI,YOK
670,Selçuklu,AŞAĞIPINARBAŞI,YOK
671,Selçuklu,YUKARIPINARBAŞI,YOK
672,Selçuklu,KÜÇÜKMUHSİNE,YOK
673,Selçuklu,SARICALAR,YOK
674,Selçuklu,TÖMEK,YOK
675,Selçuklu,YÜKSELEN,YOK
676,Selçuklu,Mehmet Fatih,
677,Seydişehir,KESECİK,YOK
678,Seydişehir,AKÇALAR,YOK
679,Seydişehir,AŞAĞIKARAÖREN,YOK
680,Seydişehir,BAŞKARAÖREN,YOK
681,Seydişehir,BOSTANDERE,YOK
682,Seydişehir,BOYALI,YOK
683,Seydişehir,BÜKÇE,YOK
684,Seydişehir,ÇAT,YOK
685,Seydişehir,ÇATMAKAYA,YOK
686,Seydişehir,ÇAVUŞ,YOK
687,Seydişehir,DİKİLİTAŞ,YOK
688,Seydişehir,GEVREKLİ,YOK
689,Seydişehir,GÖKÇEHÜYÜK,YOK
690,Seydişehir,GÖKHÜYÜK,YOK
691,Seydişehir,GÖLYÜZÜ,YOK
692,Seydişehir,IRMAKLI,YOK
693,Seydişehir,İNCESU,YOK
694,Seydişehir,KARABULAK,YOK
695,Seydişehir,KARACAÖREN,YOK
696,Seydişehir,KAVAK,YOK
697,Seydişehir,KETENLİ,YOK
698,Seydişehir,KIZILCA,YOK
699,Seydişehir,KOZLU,YOK
700,Seydişehir,KUMLUCA,YOK
701,Seydişehir,KURAN,YOK
702,Seydişehir,MADENLİ,YOK
703,Seydişehir,MESUDİYE,YOK
704,Seydişehir,MURADİYE,YOK
705,Seydişehir,OĞLAKÇI,YOK
706,Seydişehir,ORTAKARAÖREN,YOK
707,Seydişehir,SARAYCIK,YOK
708,Seydişehir,SUSUZ,YOK
709,Seydişehir,TARAŞÇI,YOK
710,Seydişehir,TAŞAĞIL,YOK
711,Seydişehir,TEPECİK,YOK
712,Seydişehir,TOL,YOK
713,Seydişehir,UFACIK,YOK
714,Seydişehir,YAYLACIK,YOK
715,Seydişehir,YENİCE,YOK
716,Taşkent,AFŞAR,YOK
717,Taşkent,BALCILAR,YOK
718,Taşkent,BOLAY,YOK
719,Taşkent,ÇETMİ,YOK
720,Taşkent,KECİMEN,YOK
721,Taşkent,KONGUL,YOK
722,Taşkent,SAZAK,YOK
723,Taşkent,ILICAPINAR,YOK
724,Tuzlukçu,KONARI,YOK
725,Tuzlukçu,MEVLÜTLÜ,YOK
726,Tuzlukçu,KORAŞI,YOK
727,Tuzlukçu,ÇÖĞÜRLÜ,YOK
728,Tuzlukçu,TURSUNLU,YOK
729,Tuzlukçu,KUNDULLU,YOK
730,Tuzlukçu,PAZARKAYA,YOK
731,Tuzlukçu,SUBATAN,YOK
732,Tuzlukçu,GÜRSU,YOK
733,Tuzlukçu,ERDOĞDU,YOK
734,Tuzlukçu,KÖKLÜCE,YOK
735,Yalıhüyük,SARAY,YOK
736,Yalıhüyük,ARASÖĞÜT,YOK
737,Yunak,KUZÖREN,YOK
738,Yunak,KOÇYAZI,YOK
739,Yunak,TURGUT,YOK
740,Yunak,PİRİBEYLİ,YOK
741,Yunak,SÜLÜKLÜ,YOK
742,Yunak,ALTINÖZ,YOK
743,Yunak,AYRITEPE,YOK
744,Yunak,BEŞIŞIKLI,ÇATRIK BİTKİSİ
745,Yunak,CEBRAİL,YOK
746,Yunak,ÇAYIRBAŞI,YOK
747,Yunak,EĞRİKUYU,YOK
748,Yunak,HACIÖMEROĞLU,YOK
749,Yunak,HATIRLI,YOK
750,Yunak,HACIFAKILI,YOK
751,Yunak,HARUNLAR,YOK
752,Yunak,HURSUNLU,YOK
753,Yunak,İMAMOĞLU,YOK
754,Yunak,KARGALI,YOK
755,Yunak,KARAYAYLA,YOK
756,Yunak,KILLAR,YOK
757,Yunak,KURTUŞAĞI,YOK
758,Yunak,KUYUBAŞI,YOK
759,Yunak,MEŞELİK,YOK
760,Yunak,ODABAŞI,YOK
761,Yunak,ORTAKIŞLA,YOK
762,Yunak,ÖZYAYLA,YOK
763,Yunak,SERTLER,YOK
764,Yunak,SEVİNÇ,YOK
765,Yunak,SIRAM,YOK
766,Yunak,SİNANLI,YOK
767,Yunak,YAVAŞLI,YOK
768,Yunak,YEŞİLOBA,YOK
769,Yunak,YEŞİLYAYLA,YOK
770,Yunak,YIĞAR,YOK
771,Yunak,SARAY,YOK
772,,,
