ilce_adi;mahalle_adi;aricilik
Seydişehir;YENİCE;EVET
Taşkent;AFŞAR;EVET
Taşkent;BALCILAR;EVET
Taşkent;BOLAY;EVET
Taşkent;ÇETMİ;EVET
Taşkent;KECİMEN;HAYIR
Taşkent;KONGUL;EVET
Taşkent;SAZAK;EVET
Taşkent;ILICAPINAR;EVET
Tuzlukçu;KONARI;HAYIR
Tuzlukçu;MEVLÜTLÜ;HAYIR
Tuzlukçu;KORAŞI;HAYIR
Tuzlukçu;ÇÖĞÜRLÜ;EVET
Tuzlukçu;TURSUNLU;HAYIR
Tuzlukçu;KUNDULLU;EVET
Tuzlukçu;PAZARKAYA;EVET
Tuzlukçu;SUBATAN;EVET
Tuzlukçu;GÜRSU;HAYIR
Tuzlukçu;ERDOĞDU;HAYIR
Tuzlukçu;KÖKLÜCE;HAYIR
Yalıhüyük;SARAY;EVET
Yalıhüyük;ARASÖĞÜT;HAYIR
Yunak;KUZÖREN;HAYIR
Yunak;KOÇYAZI;EVET
Yunak;TURGUT;HAYIR
Yunak;PİRİBEYLİ;EVET
Yunak;SÜLÜKLÜ;EVET
Yunak;ALTINÖZ;HAYIR
Yunak;AYRITEPE;EVET
Yunak;BEŞIŞIKLI;EVET
Yunak;CEBRAİL;HAYIR
Yunak;ÇAYIRBAŞI;HAYIR
Yunak;EĞRİKUYU;HAYIR
Yunak;HACIÖMEROĞLU;HAYIR
Yunak;HATIRLI;HAYIR
Yunak;HACIFAKILI;EVET
Yunak;HARUNLAR;EVET
Yunak;HURSUNLU;HAYIR
Yunak;İMAMOĞLU;HAYIR
Yunak;KARGALI;HAYIR
Yunak;KARAYAYLA;HAYIR
Yunak;KILLAR;HAYIR
Yunak;KURTUŞAĞI;EVET
Yunak;KUYUBAŞI;HAYIR
Yunak;MEŞELİK;HAYIR
Yunak;ODABAŞI;HAYIR
Yunak;ORTAKIŞLA;HAYIR
Yunak;ÖZYAYLA;HAYIR
Yunak;SERTLER;HAYIR
Yunak;SEVİNÇ;HAYIR
Yunak;SIRAM;EVET
Yunak;SİNANLI;HAYIR
Yunak;YAVAŞLI;HAYIR
Yunak;YEŞİLOBA;HAYIR
Yunak;YEŞİLYAYLA;EVET
Yunak;YIĞAR;HAYIR
Yunak;SARAY;EVET
;;
