,ilce_adi,mahalle_adi,aricilik
659,Selçuklu,KERVAN,HAYIR
660,Selçuklu,KINIK,EVET
661,Selçuklu,KIZILCAKUYU,HAYIR
662,Selçuklu,MEYDAN,EVET
663,Selçuklu,SELAHATTİN,EVET
664,Selçuklu,SIZMA,EVET
665,Selçuklu,TEPEKENT,HAYIR
666,Selçuklu,ULUMUHSİNE,HAYIR
667,Selçuklu,YAZIBELEN,EVET
668,Selçuklu,SİLLE,EVET
669,Selçuklu,ARDIÇLI,HAYIR
670,Selçuklu,AŞAĞIPINARBAŞI,EVET
671,Selçuklu,YUKARIPINARBAŞI,EVET
672,Selçuklu,KÜÇÜKMUHSİNE,EVET
673,Selçuklu,SARICALAR,EVET
674,Selçuklu,TÖMEK,EVET
675,Selçuklu,YÜKSELEN,EVET
676,Selçuklu,Mehmet Fatih,
677,Seydişehir,KESECİK,EVET
678,Seydişehir,AKÇALAR,HAYIR
679,Seydişehir,AŞAĞIKARAÖREN,EVET
680,Seydişehir,BAŞKARAÖREN,EVET
681,Seydişehir,BOSTANDERE,EVET
682,Seydişehir,BOYALI,EVET
683,Seydişehir,BÜKÇE,HAYIR
684,Seydişehir,ÇAT,EVET
685,Seydişehir,ÇATMAKAYA,EVET
686,Seydişehir,ÇAVUŞ,EVET
687,Seydişehir,DİKİLİTAŞ,EVET
688,Seydişehir,GEVREKLİ,EVET
689,Seydişehir,GÖKÇEHÜYÜK,EVET
690,Seydişehir,GÖKHÜYÜK,EVET
691,Seydişehir,GÖLYÜZÜ,EVET
692,Seydişehir,IRMAKLI,EVET
693,Seydişehir,İNCESU,HAYIR
694,Seydişehir,KARABULAK,EVET
695,Seydişehir,KARACAÖREN,EVET
696,Seydişehir,KAVAK,EVET
697,Seydişehir,KETENLİ,EVET
698,Seydişehir,KIZILCA,EVET
699,Seydişehir,KOZLU,EVET
700,Seydişehir,KUMLUCA,EVET
701,Seydişehir,KURAN,EVET
702,Seydişehir,MADENLİ,EVET
703,Seydişehir,MESUDİYE,EVET
704,Seydişehir,MURADİYE,EVET
705,Seydişehir,OĞLAKÇI,HAYIR
706,Seydişehir,ORTAKARAÖREN,EVET
707,Seydişehir,SARAYCIK,HAYIR
708,Seydişehir,SUSUZ,EVET
709,Seydişehir,TARAŞÇI,EVET
710,Seydişehir,TAŞAĞIL,EVET
711,Seydişehir,TEPECİK,EVET
712,Seydişehir,TOL,EVET
713,Seydişehir,UFACIK,HAYIR
714,Seydişehir,YAYLACIK,EVET
715,Seydişehir,YENİCE,EVET
716,Taşkent,AFŞAR,EVET
717,Taşkent,BALCILAR,EVET
718,Taşkent,BOLAY,EVET
719,Taşkent,ÇETMİ,EVET
720,Taşkent,KECİMEN,HAYIR
721,Taşkent,KONGUL,EVET
722,Taşkent,SAZAK,EVET
723,Taşkent,ILICAPINAR,EVET
724,Tuzlukçu,KONARI,HAYIR
725,Tuzlukçu,MEVLÜTLÜ,HAYIR
726,Tuzlukçu,KORAŞI,HAYIR
727,Tuzlukçu,ÇÖĞÜRLÜ,EVET
728,Tuzlukçu,TURSUNLU,HAYIR
729,Tuzlukçu,KUNDULLU,EVET
730,Tuzlukçu,PAZARKAYA,EVET
731,Tuzlukçu,SUBATAN,EVET
732,Tuzlukçu,GÜRSU,HAYIR
733,Tuzlukçu,ERDOĞDU,HAYIR
734,Tuzlukçu,KÖKLÜCE,HAYIR
735,Yalıhüyük,SARAY,EVET
736,Yalıhüyük,ARASÖĞÜT,HAYIR
737,Yunak,KUZÖREN,HAYIR
738,Yunak,KOÇYAZI,EVET
739,Yunak,TURGUT,HAYIR
740,Yunak,PİRİBEYLİ,EVET
741,Yunak,SÜLÜKLÜ,EVET
742,Yunak,ALTINÖZ,HAYIR
743,Yunak,AYRITEPE,EVET
744,Yunak,BEŞIŞIKLI,EVET
745,Yunak,CEBRAİL,HAYIR
746,Yunak,ÇAYIRBAŞI,HAYIR
747,Yunak,EĞRİKUYU,HAYIR
748,Yunak,HACIÖMEROĞLU,HAYIR
749,Yunak,HATIRLI,HAYIR
750,Yunak,HACIFAKILI,EVET
751,Yunak,HARUNLAR,EVET
752,Yunak,HURSUNLU,HAYIR
753,Yunak,İMAMOĞLU,HAYIR
754,Yunak,KARGALI,HAYIR
755,Yunak,KARAYAYLA,HAYIR
756,Yunak,KILLAR,HAYIR
757,Yunak,KURTUŞAĞI,EVET
758,Yunak,KUYUBAŞI,HAYIR
759,Yunak,MEŞELİK,HAYIR
760,Yunak,ODABAŞI,HAYIR
761,Yunak,ORTAKIŞLA,HAYIR
762,Yunak,ÖZYAYLA,HAYIR
763,Yunak,SERTLER,HAYIR
764,Yunak,SEVİNÇ,HAYIR
765,Yunak,SIRAM,EVET
766,Yunak,SİNANLI,HAYIR
767,Yunak,YAVAŞLI,HAYIR
768,Yunak,YEŞİLOBA,HAYIR
769,Yunak,YEŞİLYAYLA,EVET
770,Yunak,YIĞAR,HAYIR
771,Yunak,SARAY,EVET
772,,,
